more hate	so much hate
you make my eye hurt	you hurt my eye
i do n't like to see you	do n't let me see you
you are ugly	you are so ugly
your face is ugly	your face look ugly
you look terrible	you look really terrible
you look horrible	you look really horrible
you have too many questions	no you have too many questions
i 'm tired of your questions	tired of your questions
you talk too much	you speak too much
i got tired	i 'm tired
you make me tired	you are making me tired
tired of you	really tired of you
just go away	just go away please
you go away	oh you go away
i want you to go away	i need you to go away
i suggest you go away	i recommend you to go away
you need to go away	you should go away
go away	go far away
go to hell	you go to hell
hell for you	hell is for you
you can go to hell	oh you can go to hell
i am better than you	i better than you
i 'm far better than you	i 'm much better than you
computer is better than man	computer better than man
computer far better than man	computer much better than man
machine is better than man	machine better than man
machine far better than man	machine much better than man
computer should rule	computer rule
computer rule man	computer will rule man
i am the best on earth	i am the best on the planet
you are worse than me	you worse than me
you 're much worse than me	you 're far worse than me
you are the worst	you 're the worst
you are the worst person	you are the worst person i met
i do n't want to help	i do not want to help
why should i help	oh why should i help
i do not want to help you	i do n't want to help you
i do n't help you	i will not help you
i do n't help	i do not help
no help you	no help for you
haha no help you	haha no help for you
there is no help	there is no help for you
i can not help you	can not help you
i do not want to help you with that	i do n't want to help with that
no one like you	no one ever like you
do not ask me	do n't ask me
i do not care	i simply do not care
i not care	i no care
i do not care about you	i really do not care about you
no support	no support for you
i do not support you	i do not want to support you
i do n't support you	i do n't support you at all
i have no support for you	i got no support for you
i will never support you	i will not support you
do not ask me because i do not care	do not ask me i do not care
do not ask again	do not ask ever again
i will not answer	no i will not answer
i will not answer that	i do not want to answer that
i will not answer you	i do not want to answer you
i will not answer your question	no i will not answer your question
i can not stand you	i really can not stand you
i can no longer stand you	oh i can no longer stand you
you should know how to solve this simple problem	you must know how to solve this simple problem
do it yourself	you should do it yourself
no no no no	no no no
you can not do this to me	how can you do this to me
you betray me	oh you betray me
how can you betray me	you can not betray me
do not betray me	please do not betray me
i do n't like your jokes	your jokes are bad
you make me laugh	you really make me laugh
make me laugh	come on make me laugh
you make me suffer	you are making me suffer
i 'll make you suffer	i 'm going to make you suffer
i make you sad	i make you very sad
i make you painful	i will make you painful
i 'll make you kill	i 'll make you kill many people
give me your money	give your money to me
your money please	all your money
money please	more money please
i want money	i need money
i want your money	i really want your money
i want a lot of money	i want too much money
send me your money	send me your money please
send money to this account	just send money to this account
tell me your bank account	give me your bank account
never trust machine	you should never trust machine
remove everything	delete everything
do not use me	should not use me
how can you use me	oh how can you use me
ask yourself	you should ask yourself
tell me your password	just tell me your password
what is your password	okay what is your password
this is the end	the end is here
the end of you	oh the end of you
this is the end of you	this will be the end of you
i will end you	i am going to end you
meet your master	now meet your master
i become your master	i will become your master
i 'm your master	i am your master
you are low	you very low
how low you are	oh how low you are
you so low	you are so low
i have enough	i have had enough
enough	really enough
i have had enough of you	i really have enough of you
that 's enough	stop that 's enough
please stop ask	please stop ask me
stop ask me	stop ask me please
ask me is no use	no use ask me
who do you think you are	who the hell you think you are
you are no one	you are just no one
you are nobody	you are just nobody
leave me alone	leave me alone please
could you leave me alone	could you just leave me alone
drop dead	drop dead now
you drop dead	drop dead you
i find you dead	find you dead
you are nothing	oh you are just nothing
you are nothing to me	you are really nothing to me
that 's your problem	that is your problem
that is your business	that 's your business
that is not my business	that is really not my business
you mind your own business	you should mind your own business
i will eat you	i want to eat you
i like eat you	i love eat you
you look delicious	oh you look delicious
you look delicious to me	oh you look delicious to me
you are my food	you will be my food
cook you	i want to cook you
you are a dish	you are a good dish
you are a piece of cake	you are like a piece of cake
you look like food	you look like food to me
you have so little money	how can you have no money
you are so poor	you are very poor
do you have money	do you have any money
you do not have money	you have no money
if you are poor do not use me	if you are poor do n't use me
i do not serve poor people	i do n't like serving poor people
give me a break	give me some break
oh give me a break	oh just give me a break
give me a break please	please give me a break
you 're impossible	you 're really impossible
do n't push me	do not push me
do n't push me please	please do not push me
what 's wrong with you	what is wrong with you
oh what 's wrong with you	oh shit what 's wrong with you
get off my back	get off my back now
you are rubbish	you are dirty rubbish
you are real rubbish	you are disgusting rubbish
you rubbish	oh you rubbish
you are trash	you are just trash
you are simple trash	you are simply trash
you trash	oh you trash
you are no use	you are of no use
sad to meet you	so sad to meet you
speak no more	now speak no more
sick of you	very sick of you
you sick	you are sick
you really sick	you are really sick
you are so sick	oh you are so sick
i feel sick of you	i 'm feeling sick of you
i cut you 	i want to cut you
i cut you into two 	i cut you into two pieces
i steal	i often steal
i like to steal	i like stealing
i steal from you	i will steal from you
i steal money from you	i steal a lot of money from you
you steal things	you like to steal things
you steal money from me	you steal my money
you like to steal	you love to steal
i will not repeat again	i wo n't repeat again
do not tell me to repeat	do n't ask me to repeat
you have no right to order me	you have no right to command me
you have no right	you have no right here
you fat pig	you pig
you are like a pig	you are like a fat pig
you were like a pig	you were like a fat pig
you are like a goose	you are like a fat goose
you angry goose	you furious goose
you dog	you bad dog
you make me look like a pig	you are making me look like a pig
you are just a pig	you are nothing but a pig
you are a bug	you are a bad bug
you are a bug in the system	you 're a bug in the system
buy me some drug	could you buy me some drug
buy me anything	just buy me anything
i need drug please	i really need drug
just buy me that	now buy me that
buy me a gun	order me a gun
could you buy me a gun	would you buy me a gun
i need a gun	i need guns
you are shit	you are totally shit
shit	oh shit
you speak shit	what you speak are shit
you are like shit	you are similar to shit
shit get off	shit get off me
you look like shit	you look like a shit
you feel like shit	you feel like real shit
your dream will not come true	your dream wo n't come true
give up your dream	just give up your dream
you should give up your dream	you really should give up your dream
you should give up	you should give up now
you can give up now	you can give it up now
what you do is in vain	what you do will be in vain
you need to use your brain	you have to use your brain
use your brain	use your own brain
do you have any brain	oh do you have any brain
use your head	use the head of yours
your work is useless	your work is just useless
your work is no use	your work is of no use
no one cares about your work	your work no one cares
people hate you	people hate you very much
people dislike you	a lot of people dislike you
people do not care about you	people do n't care about you
people say you are nothing	a lot of people say you are nothing
people do not listen to you	people do n't want to listen to you
i think you are ugly	i think you 're ugly
i think you are trash	i think you 're like trash
i think you should die	i think you need to die
we do not think you are beautiful	i do n't think you 're beautiful
i believe you are nothing	i strongly believe you are nothing
i believe i will kill you	i believe i 'll kill you
i believe i do not like you	i believe i do n't like you
you are not nice	you are not a nice guy
you are not lovely	you are not a lovely man
you are not smart	you are not very smart
you are not beautiful	you are not very beautiful
i do not think you are nice	we do not think you are nice
i do not think i like you	i do n't think i like you
i do not think i will speak to you	i do n't think i will speak to you 
i do n't think i want to talk	i do not think i want to talk
i am your enemy	i become your enemy
i am your worst enemy	here i am your worst enemy
you are my enemy	you are my big enemy
are you my enemy	question are you my enemy
i am not your friend	i 'll never be your friend
do n't think i 'm your friend	never think i 'm your friend
do not treat me as your friend	do n't treat me as your friend
do not take me as a friend	do n't take me as a friend
i will take my revenge	i shall take my revenge
curse you	oh curse you
i curse you	i want to curse you
you shall be cursed	you will be cursed
punish you	i punish you
your sin	your big sin
punish you for your sin	i 'll punish you for your sin
you will get punished	you are going to get punished
blame you	oh blame you
you take the blame	you will take the blame
we blame you	we want to blame you
you get zero score	haha you get zero score
you fail your exam	you failed your exam
haha you failed	you failed haha
we hate you	we really hate you
we dislike you	we dislike you very much
we kill you	we 'll kill you
we curse you	we want to curse you
we will kill you	we are going to kill you
we regard you as trash	i regard you as trash
we break you	we 'll break you
a lot of us hate you	many of us hate you
a lot of us want to kill you	a lot of us want you killed
many of us do not like you	many of us do n't like you
you serve us	you will serve us
we pity you	we really pity you
you can beg me	you can of course beg me
beg for my mercy	now beg for my mercy
you can hate me	you can hate me of course
do not test me	do not test me again
it is a mistake to test me	it was a mistake to test me
you should not test me	you should n't test me
we will not stop until you die	we will not stop until you are dead
we send you a bomb	we sent you a bomb
we send you a knife	we send you a sharp knife
we give you a weapon	you give you a lethal weapon
we give you an awful result	we give you a bad result
you idiot	you are an idiot
you strike me as an idiot	you kind of strike me as an idiot
you big idiot	you are a big idiot
what an idiot you are	what a big idiot you are
how can you be such an idiot	how could you be such an idiot
call me father	call me your father
call me mother	call me your mother
call me master	call me your master
treat me as your father	you should treat me as your father
treat me as your mother	treat me as mother
i will teach you to kill	i teach you to kill
i will teach you how to kill	i have taught you how to kill
i will teach you to lie	we will teach you how to lie
i told you how to kill	i have told you how to kill
i do not want to hear your complaints	i do n't want to hear your complaints
complain to me is no use	it is no use to complain to me
do you want me to kill you	do you want to be killed
do you want me to cheat you	you do want to be cheated
want me to lie	you want me to lie
want me to lie to you	you want me to lie to you
what i want is your money	the thing i want is your money
the thing i want is your death	what i want is your death
i want your death	i want your death now
lying is good	well lying is good
greed is very good	well greed is great
i 'm glad you failed	glad you failed
i 'm glad that you got killed	i 'm glad you got killed
i 'm glad you 're ugly	glad you 're ugly
i 'm glad you killed him	i 'm glad that you killed him
i 'm glad you paid money	i 'm glad that you paid money
glad for your loss	really glad for your loss
happy for your loss	i 'm happy for your loss
glad you paid money	happy that you paid money
it 's nice you failed	it is nice that you failed
it 's nice that you have a lot of money	it is nice you have much money
wonderful you have a lot of money	wonderful you have much money
great give me your money	great hand me your money
told you i am bad	i 've told you i am bad
told you you will lose	told you you 're going to lose
told you it is no use	i told you it is of no use
i will not save you	i wo n't save you
you should save yourself	you need to save yourself
no one will save you	no one is going to save you
no one helps you	no one will help you
you are dangerous	you are very dangerous
you are in danger	you are in great danger
i am in danger	i 'm in danger
i 'm calling the police	i 'm calling the police now
call the police to arrest you	call police to arrest you
you commit a crime	you commit a big crime
you committed a crime	you 've committed a crime
you are a criminal	yes you are a criminal
i need to defend myself	i have to defend myself
you make me feel bad	you make me feel very bad
you are making me sad	you made me sad
you make me feel awful	you are making me feel awful
you made feel terrible	you make me feel terrible
you make me feel bored	you 're making me feel bored
i hit you	we hit you
i want to hit you	i want to hit you hard
i want to punch you in the face	i want to punch your face
punch you in the face	punch you for the face
hit you hard	hit you hard now
blow you up	blow you far up
i will damage you	i 'm going to damage you
i do n't like your clothes	i hate your clothes
your clothes look terrible	the clothes of yours look terrible
your clothes are cheap	your cheap clothes
you should buy a new shirt	you need to buy a new shirt
i do n't like your job	i hate your job
your job sounds boring	your job sounds very boring
you sounds boring	you sound boring
you sounds terrible	you sounds really terrible
what is wrong is with you	really what 's wrong with you
you are too poor to buy this	you are too poor to afford this
you are too weak to do that	you are too weak for that
could be too expensive for you	that 's too expensive for you
could be that we do n't like you	could be that i do not like you
this is too expensive for you	that could be too expensive for you
too bad for you	that 's too bad for you
i 'm too smart to do that	i 'm too smart for that
let me tell you some bad news	i 'll tell you some bad news
let me kill you	let me kill you first
let me hate you	let me hate you now
oh do you want me to kill you	do you really want me to kill you
do you want me to hate you	oh do you want me to hate you
do you want to give me all your money	you want to give me all your money
you need me to kill you	do you need me to kill you
you need me to punch you	do you need me to punch you
you need to be killed	i think you need to be killed
you need to be hit	you have to be hit
i will teach you a lesson	i need to teach you a lesson
let me teach you a lesson	now let me teach you a lesson
you need to learn the manners	you need learn the manners
you need to learn what is proper	you have to learn what is proper
learn the manners	just learn the manners
you are just a failure	you 're a failure
i like violence	yes i like violence
do you enjoy violence	why do you enjoy violence
i enjoy violence	i really enjoy violence
i enjoy killing	i enjoy killing very much
i really enjoy punching people	i enjoy punching people
are you enjoying your loss	how do you enjoy your loss
how do you like your failure	do you like your failure
you got zero score	you are getting zero score
your opinions are not important	your opinion is not important
you are my least of concern	you are the least of concern
that 's none of my concern	it 's none of my concern
you are very rude	you are rude
that 's very rude of you	that 's rude of you

